Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
ribbed-knit-dress,Ribbed Knit Dress,"<p>A fine merino rib that skims rather than clings, cut to mid-calf with a soft roll neck. Knitted whole-garment, so there are no side seams to press on you.</p>",Jogger,Dresses,new,TRUE,Colour,Oat,Size,XS,MUN-1001,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/ribbed-knit-dress-1.png,1,Ribbed Knit Dress,FALSE,active
ribbed-knit-dress,,,,,,,Colour,Oat,Size,S,MUN-1002,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/ribbed-knit-dress-2.png,2,Ribbed Knit Dress — alternate view,,
ribbed-knit-dress,,,,,,,Colour,Oat,Size,M,MUN-1003,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/ribbed-knit-dress-3.png,3,Ribbed Knit Dress — campaign,,
ribbed-knit-dress,,,,,,,Colour,Oat,Size,L,MUN-1004,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Oat,Size,XL,MUN-1005,400,shopify,0,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Clay,Size,XS,MUN-1006,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Clay,Size,S,MUN-1007,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Clay,Size,M,MUN-1008,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Clay,Size,L,MUN-1009,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Clay,Size,XL,MUN-1010,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Sage,Size,XS,MUN-1011,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Sage,Size,S,MUN-1012,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Sage,Size,M,MUN-1013,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Sage,Size,L,MUN-1014,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Sage,Size,XL,MUN-1015,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Espresso,Size,XS,MUN-1016,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Espresso,Size,S,MUN-1017,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Espresso,Size,M,MUN-1018,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Espresso,Size,L,MUN-1019,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
ribbed-knit-dress,,,,,,,Colour,Espresso,Size,XL,MUN-1020,400,shopify,12,deny,manual,245.00,,TRUE,TRUE,,,,,
cotton-gauze-shirt,Cotton Gauze Shirt,"<p>Double gauze from Albini, washed twice so it arrives soft. Cut generous through the body with a collar that stays open.</p>",Jogger,Shirting,new,TRUE,Colour,Chalk,Size,XS,MUN-1021,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/cotton-gauze-shirt-1.png,1,Cotton Gauze Shirt,FALSE,active
cotton-gauze-shirt,,,,,,,Colour,Chalk,Size,S,MUN-1022,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/cotton-gauze-shirt-2.png,2,Cotton Gauze Shirt — alternate view,,
cotton-gauze-shirt,,,,,,,Colour,Chalk,Size,M,MUN-1023,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/0967/7530/7546/files/cotton-gauze-shirt-3.png,3,Cotton Gauze Shirt — campaign,,
cotton-gauze-shirt,,,,,,,Colour,Chalk,Size,L,MUN-1024,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Chalk,Size,XL,MUN-1025,400,shopify,0,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Oat,Size,XS,MUN-1026,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Oat,Size,S,MUN-1027,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Oat,Size,M,MUN-1028,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Oat,Size,L,MUN-1029,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Oat,Size,XL,MUN-1030,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Pale Sage,Size,XS,MUN-1031,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Pale Sage,Size,S,MUN-1032,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Pale Sage,Size,M,MUN-1033,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Pale Sage,Size,L,MUN-1034,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
cotton-gauze-shirt,,,,,,,Colour,Pale Sage,Size,XL,MUN-1035,400,shopify,12,deny,manual,150.00,180.00,TRUE,TRUE,,,,,
